close,high,low,open,year,day
96966.85,97342.44,96856.98,96985.47,2025,3
97062.3,97090.91,96833.99,96966.85,2025,3
96813.41,97066.18,96766.51,97062.3,2025,3
96765.34,96860.48,96590.28,96813.49,2025,3
96539.49,96918.56,96512.0,96765.35,2025,3
96304.0,96645.83,96280.65,96539.49,2025,3
96129.97,96529.84,96100.01,96304.0,2025,3
96554.32,96702.48,96107.84,96129.97,2025,3
96488.53,96640.01,96402.82,96554.32,2025,3
96757.58,96830.0,96482.51,96488.53,2025,3
96666.66,96921.36,96666.66,96757.57,2025,3
96504.79,96839.71,96472.43,96666.66,2025,3
97016.01,97342.44,96504.79,96504.8,2025,3
97521.35,97660.0,96759.12,97016.0,2025,3
97868.2,98444.42,97406.54,97521.36,2025,3
98026.0,98299.76,97837.63,97868.21,2025,3
98527.98,98697.86,98000.0,98025.99,2025,3
98592.01,98976.91,98491.53,98527.97,2025,3
98311.52,98748.0,98300.0,98592.02,2025,3
98272.7,98419.14,98196.96,98311.51,2025,3
98296.37,98512.94,98250.0,98272.7,2025,3
98174.18,98382.19,98067.99,98296.37,2025,3
97950.01,98288.0,97887.2,98174.17,2025,4
98040.0,98095.06,97800.0,97950.01,2025,4
98304.51,98314.15,97848.48,98040.0,2025,4
98200.0,98304.51,98052.97,98304.51,2025,4
98001.0,98200.01,97862.87,98200.01,2025,4
98126.21,98196.51,97988.76,98001.0,2025,4
98127.54,98209.7,98039.91,98126.21,2025,4
98271.88,98350.04,98095.17,98127.53,2025,4
97906.07,98306.22,97905.26,98271.87,2025,4
97690.37,97980.0,97532.58,97906.08,2025,4
97789.32,97859.6,97600.0,97690.37,2025,4
97889.39,97923.07,97711.54,97789.32,2025,4
97888.12,98016.97,97800.0,97889.4,2025,4
97973.05,98068.46,97750.0,97888.12,2025,4
98035.04,98080.15,97828.38,97973.05,2025,4
97657.94,98152.02,97514.79,98035.05,2025,4
97704.6,97874.68,97549.99,97657.95,2025,4
98016.26,98049.99,97687.77,97704.6,2025,4
97961.56,98139.13,97909.85,98016.26,2025,4
98166.26,98350.0,97931.23,97961.56,2025,4
98599.02,98671.02,98166.25,98166.26,2025,4
98362.43,98778.43,98344.0,98599.02,2025,4
98417.25,98484.85,98265.91,98362.43,2025,4
98220.5,98419.14,98143.2,98417.25,2025,4
98213.43,98391.59,98154.18,98220.51,2025,5
98123.53,98322.35,98050.0,98213.44,2025,5
98227.48,98227.49,98105.41,98123.53,2025,5
98187.96,98227.49,98069.0,98227.49,2025,5
98357.46,98522.76,98187.96,98187.97,2025,5
98358.98,98500.0,98264.78,98357.46,2025,5
98451.47,98500.0,98304.82,98358.98,2025,5
98268.77,98464.84,98268.77,98451.48,2025,5
97861.04,98268.78,97777.77,98268.77,2025,5
97652.2,97943.02,97637.93,97861.04,2025,5
97737.48,97776.68,97600.0,97652.21,2025,5
97641.63,97822.16,97615.13,97737.48,2025,5
97770.01,97956.66,97569.04,97641.62,2025,5
97689.96,98018.96,97680.18,97770.01,2025,5
97855.06,97967.08,97276.79,97689.96,2025,5
98028.98,98281.89,97702.3,97855.06,2025,5
98035.17,98332.54,97937.82,98028.98,2025,5
97731.08,98078.94,97673.57,98035.17,2025,5
97918.91,97927.98,97577.46,97731.09,2025,5
98079.63,98109.0,97854.99,97918.91,2025,5
98275.71,98678.0,98024.0,98079.64,2025,5
98496.52,98522.46,98216.58,98275.71,2025,5
98695.21,98745.45,98344.0,98496.52,2025,5
98363.61,98836.85,98322.72,98695.21,2025,5
98217.23,98773.48,98190.75,98363.61,2025,6
98759.43,98816.28,97920.0,98217.23,2025,6
98815.39,99333.0,98649.97,98759.42,2025,6
99037.57,99235.99,98759.55,98815.39,2025,6
99466.09,99500.88,99037.57,99037.57,2025,6
99600.0,99892.0,99400.0,99466.09,2025,6
99512.21,99763.99,99382.31,99600.0,2025,6
99318.7,99529.87,99161.14,99512.21,2025,6
99043.49,99625.69,99000.0,99318.7,2025,6
98999.99,99250.0,98942.46,99043.49,2025,6
98767.96,99057.95,98709.28,99000.0,2025,6
99259.99,99410.23,98712.0,98767.96,2025,6
99157.12,99713.13,99142.43,99259.99,2025,6
99492.51,99575.85,98909.82,99157.12,2025,6
100737.03,101295.23,98711.94,99492.5,2025,6
102147.95,102468.92,100481.99,100737.03,2025,6
102158.67,102480.0,101719.59,102147.95,2025,6
101831.95,102158.68,101250.0,102158.67,2025,6
101738.8,102053.61,101578.12,101831.95,2025,6
101817.22,102032.0,101639.6,101738.81,2025,6
102127.38,102318.5,101800.0,101817.22,2025,6
101611.92,102329.98,101600.05,102126.9,2025,6
102011.98,102084.13,101600.06,101611.92,2025,6
102235.6,102239.58,101896.87,102011.98,2025,6
102042.46,102724.38,101950.0,102235.6,2025,7
101915.66,102071.9,101684.95,102042.47,2025,7
101677.66,102018.98,101651.67,101915.66,2025,7
101708.08,101818.19,101512.91,101677.66,2025,7
101667.02,101925.77,101667.01,101708.09,2025,7
101743.47,101786.07,101582.79,101667.02,2025,7
101820.53,101894.47,101648.56,101743.47,2025,7
101664.81,102015.01,101640.47,101820.53,2025,7
101905.08,101995.64,101618.04,101664.81,2025,7
101723.19,101914.11,101632.06,101905.08,2025,7
101406.78,101723.19,101379.45,101723.18,2025,7
100830.86,101453.0,100472.45,101406.78,2025,7
100750.89,100956.99,100628.43,100830.86,2025,7
100636.8,100960.06,100615.63,100750.88,2025,7
99979.69,100862.91,99732.0,100636.8,2025,7
97952.26,100142.99,97153.5,99979.69,2025,7
97733.58,98347.81,97586.41,97952.26,2025,7
97277.31,97806.03,96577.0,97733.58,2025,7
