close,high,low,ema_5,open,ma_5,ema_10,ma_10,ma_20,lower_band,upper_band
102134.48,102196.97,101424.01,101565.7572228917,101442.41,101437.84199999999,101426.54546515517,101279.749,101427.1925,100715.03840352126,102139.34659647875
101831.15,102155.28,101775.88,101654.2214819278,102134.48,101589.13600000001,101500.10992603605,101297.788,101423.4475,100721.17703517676,102125.71796482323
101733.82,101931.73,101722.31,101680.7543212852,101831.16,101712.374,101542.60266675676,101372.37,101418.9385,100726.406115919,102111.470884081
102366.17,102850.0,101733.82,101909.22621419013,101733.83,101901.60800000001,101692.3421818919,101519.389,101447.0955,100650.79218031195,102243.39881968804
102159.29,102511.81,102107.92,101992.5808094601,102366.17,102044.98199999999,101777.24178518428,101603.96399999999,101477.496,100620.34614166847,102334.64585833153
101759.8,102169.9,101759.8,101914.98720630675,102159.29,101970.046,101774.07055151439,101703.94399999999,101487.957,100621.99011656617,102353.92388343382
101732.09,101941.18,101534.01,101854.02147087117,101759.81,101950.234,101766.43772396632,101769.685,101495.362,100623.42520131024,102367.29879868975
102015.15,102015.16,101581.07,101907.73098058079,101732.09,102006.49999999999,101811.65813779061,101859.437,101531.2215,100634.81999223285,102427.62300776715
102264.34,102270.95,101919.6,102026.60065372052,102015.15,101986.13399999999,101893.96393091959,101943.871,101585.936,100649.65682972525,102522.21517027475
102280.0,102450.22,102147.58,102111.06710248036,102264.34,102010.276,101964.15230711602,102027.62899999999,101628.22099999999,100645.53834657469,102610.9036534253
102671.44,102691.01,102228.01,102297.85806832026,102280.01,102192.604,102092.75006945856,102081.325,101680.537,100592.76122240617,102768.31277759382
102946.54,103359.97,102533.33,102514.08537888018,102671.44,102435.49399999999,102247.98460228427,102192.86399999999,101745.326,100519.430725699,102971.221274301
102784.65,102987.43,102473.01,102604.27358592013,102946.55,102589.394,102345.56012914167,102297.947,101835.15849999999,100579.96755562839,103090.34944437159
