open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,average_price,price_change
3423.08,3429.28,3385.01,3402.53,15684.6238,53461560.638001,137525,5984.9733,20390997.57344,3407.1450000000004,-20.549999999999727
3402.53,3420.0,3397.2,3419.27,7488.9331,25537502.951138,87237,3635.3949,12398403.251078,3408.6,16.73999999999978
3419.27,3423.0,3407.73,3413.84,8146.8531,27826575.905389,75766,4131.7756,14114068.722183,3415.365,-5.429999999999836
3413.84,3415.15,3379.0,3387.87,10980.8783,37263831.691643,127724,4854.5283,16477634.163256,3397.075,-25.970000000000255
3387.87,3393.64,3338.85,3359.0,23042.895,77461683.382067,221456,10599.8013,35635765.004386,3366.245,-28.86999999999989
3359.0,3360.33,3307.83,3326.32,34314.6756,114140364.899849,276766,15279.7917,50831490.877406,3334.08,-32.679999999999836
3326.32,3337.6,3309.68,3316.6,15641.6095,51971370.930873,183923,8124.0943,26996450.309138,3323.64,-9.720000000000255
3316.6,3352.94,3306.6,3351.05,17955.7883,59751844.700074,184872,10155.1048,33799892.997261,3329.77,34.45000000000027
3350.43,3366.62,3342.2,3361.99,9750.1919,32728749.723545,105121,5009.1164,16815952.809693,3354.41,11.559999999999945
3361.99,3362.93,3343.3,3355.0,8234.5321,27626378.975688,98801,4666.017,15654511.408542,3353.115,-6.989999999999782
3354.99,3355.54,3335.0,3339.84,7984.338,26697297.988853,91623,3911.1832,13076823.88316,3345.27,-15.149999999999636
3339.84,3344.86,3317.6,3319.17,8402.2588,27984348.770212,85882,3907.032,13015595.30066,3331.23,-20.670000000000073
3319.17,3334.93,3310.0,3320.84,7492.4927,24903524.512233,68216,3589.956,11930328.447657,3322.465,1.6700000000000728
3320.85,3337.84,3315.67,3333.51,8622.485,28682504.579752,90090,4795.5474,15955662.472538,3326.755,12.66000000000031
3333.51,3347.8,3332.2,3344.03,6916.0756,23096826.054045,80884,4202.1919,14032375.681785,3340.0,10.519999999999982
3344.03,3347.0,3322.23,3334.01,7691.366,25638590.761574,69329,3148.2796,10496202.998561,3334.615,-10.019999999999982
3334.01,3343.45,3327.34,3327.35,5794.7754,19342162.782126,53054,2907.0339,9705948.722631,3335.395,-6.660000000000309
3327.34,3353.09,3326.92,3345.51,5836.5358,19509074.826259,55175,3908.9962,13068104.997009,3340.005,18.170000000000073
3345.51,3348.3,3339.81,3344.47,2709.5539,9061098.379732,32963,1288.4538,4309040.88356,3344.0550000000003,-1.0400000000004184
3344.47,3361.14,3344.47,3348.02,7054.5037,23645617.124345,48869,4202.3426,14086286.054861,3352.805,3.550000000000182
3348.02,3350.8,3334.0,3341.68,8627.745,28825639.548683,58617,2874.4849,9601960.65439,3342.4,-6.3400000000001455
3341.68,3349.5,3332.71,3335.53,5575.8429,18633499.396001,50580,2060.2879,6884715.317316,3341.105,-6.149999999999636
3335.53,3347.75,3333.0,3345.01,5963.9352,19923885.165434,45052,2181.2987,7287698.105903,3340.375,9.480000000000018
3345.01,3359.26,3342.65,3351.61,7978.7414,26746353.612319,53100,3786.1006,12693043.777561,3350.955,6.599999999999909
3351.61,3353.93,3337.36,3339.8,7268.5611,24320189.594849,57359,2499.3309,8361876.738851,3345.645,-11.809999999999945
3339.79,3363.53,3339.79,3359.23,5748.3428,19265442.250288,40901,3598.2625,12063999.314859,3351.66,19.440000000000055
3359.23,3365.0,3351.65,3353.11,6664.6138,22378319.363577,54064,3065.0463,10294025.371136,3358.325,-6.119999999999891
3353.11,3370.06,3351.02,3366.01,7505.5859,25238912.025051,83797,4130.2651,13889927.207528,3360.54,12.900000000000091
3366.0,3396.0,3364.19,3373.2,16246.5691,54885784.146718,143315,8132.0199,27478449.83737,3380.0950000000003,7.199999999999818
