close,high,low,ema_5,open,ma_5,ema_10,ma_10,ma_20,lower_band,upper_band,rsi_14,taker_buy_quote_asset_volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume
99323.94,100140.0,99210.53,99881.08653031438,100083.21,99923.09,100175.07364253896,100306.251,100605.8985,99194.65198923055,102017.14501076944,42.43960335834864,41625525.4803771,99324747.1197429,276020,417.62827
99484.99,99675.66,99205.0,99749.05435354293,99323.94,99868.086,100049.60388935005,100108.501,100550.9295,99053.16133846625,102048.69766153375,39.72119622035885,59235146.8539636,113226775.3728395,274055,595.70923
99729.09,99793.5,99484.98,99742.39956902862,99484.99,99725.104,99991.32863674095,99919.64499999999,100512.38450000001,98970.08062164174,102054.68837835829,41.16318194177542,29680167.461008,53048561.1030903,164100,297.78565
100000.46,100054.91,99652.0,99828.41971268576,99729.09,99724.33800000002,99992.98888460622,99833.932,100463.4075,98921.41572857168,102005.39927142832,36.22055150833124,25496691.4341875,53097804.2762795,121589,255.31026
99890.0,100172.0,99850.35,99848.94647512384,100000.46,99685.696,99974.26363285963,99874.8,100417.204,98864.11572421018,101970.29227578982,34.59424527843862,18731897.1016475,42999505.8058657,99313,187.33953
99700.0,100092.0,99700.0,99799.29765008256,99889.99,99760.90800000001,99924.39751779425,99841.999,100373.232,98789.97848862274,101956.48551137726,35.42203951992957,17820047.6736953,48315638.8863149,106474,178.33602
100130.0,100225.52,99500.0,99909.53176672172,99700.0,99889.91,99961.7797872862,99878.99799999999,100361.811,98774.81654759833,101948.80545240168,38.23041223817929,54618376.2856162,127607107.9158212,175189,546.15943
100272.0,100361.93,99896.0,100030.35451114782,100130.01,99998.492,100018.18346232508,99861.798,100334.011,98761.9927770053,101906.0292229947,44.86489425323755,30618487.8159153,56316996.1869493,124159,305.60455
100100.0,100340.0,99904.43,100053.56967409854,100271.99,100018.4,100033.05919644778,99871.369,100293.4115,98742.44364058514,101844.37935941486,56.877951600405524,20134536.8307315,50013642.4381271,132961,201.07452
100457.62,100550.0,99913.51,100188.2531160657,100100.0,100131.924,100110.25206982091,99908.81,100231.1905,98825.08110071527,101637.29989928473,54.98562141258838,30779669.4121824,52161259.5326385,130636,306.94379
100353.37,100789.0,100314.19,100243.29207737715,100457.62,100262.598,100154.45532985347,100011.753,100159.00200000001,98958.13050013702,101359.873499863,57.157988197069,38749795.6865184,68153531.2087958,165572,385.45966
100299.85,100470.59,100142.11,100262.14471825145,100353.37,100296.568,100180.89072442557,100093.239,100100.87,99064.36683925633,101137.37316074366,47.94907619503715,21672065.8548261,46405012.8195424,150630,216.03747
100284.35,100527.91,99936.25,100269.54647883431,100299.85,100299.03799999999,100199.70150180273,100148.765,100034.205,99273.69710764327,100794.71289235674,54.531627217569955,29351135.6198895,60655191.7977882,214229,292.98332
101018.12,101018.12,100220.92,100519.07098588954,100284.36,100482.66199999998,100348.50486511132,100250.53099999999,100042.23150000001,99242.74408749843,100841.71891250159,62.48240945707964,57687985.5198441,99525066.1093974,337312,572.86714
99873.16,101375.26,99700.0,100303.76732392637,101018.12,100365.76999999999,100262.07852600016,100248.847,100061.8235,99301.99081550118,100821.65618449882,56.64818670409163,103497955.2708155,235584930.11594728,565812,1027.0182
100988.01,101272.73,99800.0,100531.84821595091,99873.16,100492.698,100394.06606672739,100377.648,100109.8235,99244.95476094124,100974.69223905876,64.78070175436812,97839678.0667737,197336433.9377325,575702,974.31909
101737.89,101777.75,100780.01,100933.86214396727,100988.02,100780.30600000001,100638.39769095878,100538.437,100208.7175,99095.57866873097,101321.85633126902,67.96722109125383,78290401.237393,159595326.1862378,421877,772.60224
101495.91,101895.26,101293.14,101121.21142931153,101737.88,101022.618,100794.30901987536,100660.82800000001,100261.313,99010.4773451112,101512.14865488879,63.446380819975495,86649725.6669195,168271831.7525538,380093,852.83665
101462.34,101617.65,101205.88,101234.92095287437,101495.92,101111.46199999998,100915.76919807984,100797.062,100334.21549999999,98980.7084560275,101687.72254397249,64.33596528016744,53098111.7754696,99426570.2443624,235043,523.85832
101680.0,101879.98,101227.97,101383.28063524958,101462.34,101472.83,101054.7202529744,100919.3,100414.055,98939.8875093303,101888.22249066968,67.96224662344335,67036237.812939,125011393.5865356,274444,659.80995
101303.64,101691.46,101250.09,101356.73375683307,101680.01,101535.95599999999,101099.97838879723,101014.327,100513.04000000001,99081.83832164496,101944.24167835506,60.75171493900886,26565949.7050946,70951084.6623146,151208,261.94151
101227.28,101407.99,101090.9,101313.5825045554,101303.63,101433.834,101123.12413628862,101107.06999999999,100600.1545,99221.28540484344,101979.02359515657,58.85784862802336,17188932.2115158,41131812.7965219,122133,169.79251
