open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,average_price,price_change
95449.36,96216.91,95270.0,96042.88,1165.18448,111652445.2428069,443285,578.83274,55477830.533307,95743.455,593.5200000000041
96042.89,96621.95,95816.86,96519.47,1018.76508,98014248.2085226,316437,535.98576,51562063.6235683,96219.405,476.58000000000175
96519.47,96547.99,95680.0,95824.27,772.56303,74237924.1770698,261365,359.54574,34552807.3735318,96113.995,-695.1999999999971
95824.27,95986.4,95458.66,95743.44,530.9501,50827269.3761829,164373,255.45947,24456394.4376954,95722.53,-80.83000000000175
95743.44,96198.58,95444.44,96102.25,569.90971,54536830.3006665,159368,285.11464,27289726.5516045,95821.51000000001,358.8099999999977
96102.24,96114.46,95400.0,95589.6,630.68028,60314209.2683802,189933,296.26242,28330261.9729633,95757.23000000001,-512.6399999999994
95589.6,95933.74,95302.0,95812.63,597.64881,57149987.7745797,143387,309.99802,29642458.8234654,95617.87,223.02999999999884
95812.63,95963.86,95625.0,95821.92,326.30061,31260085.1952255,66805,140.51483,13461817.3090204,95794.43,9.289999999993597
95821.92,95887.99,95372.32,95791.6,543.7555,52016534.5546712,130686,238.29409,22794053.9229771,95630.155,-30.319999999992433
95791.6,95930.39,95401.03,95794.56,627.70553,60067349.1862824,138149,288.70366,27627157.999325,95665.70999999999,2.959999999991851
95794.55,96250.0,95575.07,95917.03,726.33893,69683412.4433146,156345,374.27431,35903607.8071195,95912.535,122.47999999999593
95917.02,96443.68,95718.75,96073.77,973.05088,93593669.0267988,191616,481.93972,46350200.6069825,96081.215,156.75
96073.77,96443.0,95982.51,96417.84,608.14876,58547021.9765111,159863,237.04811,22822246.5605927,96212.755,344.06999999999243
96417.84,96595.98,96229.39,96300.0,892.67108,86100729.2166206,166444,530.09553,51131757.9249387,96412.685,-117.83999999999651
96300.01,96333.77,96001.0,96238.89,623.74969,59965841.1280413,136403,292.84731,28153858.7662298,96167.38500000001,-61.11999999999534
96238.89,96594.44,96107.28,96594.16,389.55148,37542079.1671985,122019,193.79981,18677818.6285482,96350.86,355.2700000000041
96594.17,96604.24,94646.03,95104.76,2694.55677,256635564.8000129,377862,1228.48226,116955794.4997836,95625.13500000001,-1489.4100000000035
95104.76,96395.0,95104.76,95724.02,1419.07808,136043907.6648954,330740,715.36305,68560335.1392824,95749.88,619.2600000000093
95724.01,97544.58,95674.0,96774.13,2345.4349,227536581.2466048,458878,1346.02702,130562953.383673,96609.29000000001,1050.12000000001
96774.14,97029.25,96195.2,96605.46,732.07575,70704606.8142797,240361,397.36123,38383045.2785517,96612.225,-168.67999999999302
96605.46,96953.71,96377.77,96952.38,466.91984,45120077.4376213,165588,271.63546,26252038.4217268,96665.74,346.91999999999825
96952.38,97035.8,96617.64,96686.75,616.98763,59732754.1790149,178842,311.63157,30166502.4641505,96826.72,-265.63000000000466
96686.74,96686.74,96229.66,96407.99,791.8893,76350767.982275,243289,314.02745,30282471.7341275,96458.20000000001,-278.75
96407.99,96480.0,95161.17,95691.99,1516.74425,145263837.1210869,410837,707.26432,67720589.3166384,95820.58499999999,-716.0
95692.0,95718.13,94011.11,94573.75,3500.11218,331156476.91461927,637256,1520.31686,143802062.1254447,94864.62,-1118.25
94573.75,94996.16,94101.02,94165.92,1635.42881,154438004.8415317,406654,846.2146,79909276.3987143,94548.59,-407.83000000000175
94165.92,94354.82,93500.01,94291.3,2312.03777,217230718.0094558,342430,1139.33188,107078509.5550239,93927.41500000001,125.38000000000466
94291.3,94770.15,94212.3,94566.06,756.45526,71506061.9688845,190075,419.86632,39688653.0015939,94491.225,274.75999999999476
94566.05,94810.07,94252.0,94750.0,575.05533,54341161.3772083,163745,303.17413,28652946.5127896,94531.035,183.9499999999971
94750.11,94778.43,94313.82,94588.12,742.35545,70165709.304388,161124,409.59789,38711921.2220609,94546.125,-161.99000000000524
94588.12,94823.09,94379.35,94526.07,397.53728,37612185.9933442,119122,157.14783,14868614.2116708,94601.22,-62.04999999998836
