timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-12-27 11:00:00,96605.46000000,96953.71000000,96377.77000000,96952.38000000,466.91984000,2024-12-27 11:59:59.999,45120077.43762130,165588,271.63546000,26252038.42172680,0
2024-12-27 12:00:00,96952.38000000,97035.80000000,96617.64000000,96686.75000000,616.98763000,2024-12-27 12:59:59.999,59732754.17901490,178842,311.63157000,30166502.46415050,0
2024-12-27 13:00:00,96686.74000000,96686.74000000,96229.66000000,96407.99000000,791.88930000,2024-12-27 13:59:59.999,76350767.98227500,243289,314.02745000,30282471.73412750,0
2024-12-27 14:00:00,96407.99000000,96480.00000000,95161.17000000,95691.99000000,1516.74425000,2024-12-27 14:59:59.999,145263837.12108690,410837,707.26432000,67720589.31663840,0
2024-12-27 15:00:00,95692.00000000,95718.13000000,94011.11000000,94573.75000000,3500.11218000,2024-12-27 15:59:59.999,331156476.91461930,637256,1520.31686000,143802062.12544470,0
2024-12-27 16:00:00,94573.75000000,94996.16000000,94101.02000000,94165.92000000,1635.42881000,2024-12-27 16:59:59.999,154438004.84153170,406654,846.21460000,79909276.39871430,0
2024-12-27 17:00:00,94165.92000000,94354.82000000,93500.01000000,94291.30000000,2312.03777000,2024-12-27 17:59:59.999,217230718.00945580,342430,1139.33188000,107078509.55502390,0
2024-12-27 18:00:00,94291.30000000,94770.15000000,94212.30000000,94566.06000000,756.45526000,2024-12-27 18:59:59.999,71506061.96888450,190075,419.86632000,39688653.00159390,0
2024-12-27 19:00:00,94566.05000000,94810.07000000,94252.00000000,94750.00000000,575.05533000,2024-12-27 19:59:59.999,54341161.37720830,163745,303.17413000,28652946.51278960,0
2024-12-27 20:00:00,94750.11000000,94778.43000000,94313.82000000,94588.12000000,742.35545000,2024-12-27 20:59:59.999,70165709.30438800,161124,409.59789000,38711921.22206090,0
2024-12-27 21:00:00,94588.12000000,94823.09000000,94379.35000000,94526.07000000,397.53728000,2024-12-27 21:59:59.999,37612185.99334420,119122,157.14783000,14868614.21167080,0
2024-12-27 22:00:00,94526.07000000,94674.50000000,94200.00000000,94437.75000000,459.69514000,2024-12-27 22:59:59.999,43422556.32504460,98780,188.36230000,17791969.79033760,0
2024-12-27 23:00:00,94437.75000000,94526.09000000,94100.60000000,94299.03000000,697.68420000,2024-12-27 23:59:59.999,65806775.65442680,122444,271.00395000,25569407.70851250,0
2024-12-28 00:00:00,94299.03000000,94544.35000000,94243.32000000,94398.75000000,435.25082000,2024-12-28 00:59:59.999,41083196.33649160,155242,204.23228000,19277039.95381070,0
2024-12-28 01:00:00,94398.75000000,94615.24000000,94135.66000000,94556.93000000,377.17171000,2024-12-28 01:59:59.999,35588219.55338410,150451,169.52263000,15994393.00345240,0
2024-12-28 02:00:00,94556.92000000,94619.00000000,94276.01000000,94338.00000000,288.78768000,2024-12-28 02:59:59.999,27289454.89655180,87638,123.15718000,11639543.42299970,0
2024-12-28 03:00:00,94338.00000000,94720.00000000,94335.88000000,94594.91000000,240.31584000,2024-12-28 03:59:59.999,22730123.24135120,75817,133.64638000,12640895.22705530,0
2024-12-28 04:00:00,94594.91000000,94643.87000000,94511.71000000,94524.00000000,185.04174000,2024-12-28 04:59:59.999,17500867.06229990,54946,72.79028000,6884526.22095350,0
2024-12-28 05:00:00,94524.00000000,94800.00000000,94523.99000000,94625.64000000,245.81860000,2024-12-28 05:59:59.999,23274414.99001970,72754,132.09669000,12506925.94384740,0
2024-12-28 06:00:00,94625.64000000,94724.88000000,94405.28000000,94466.49000000,304.41114000,2024-12-28 06:59:59.999,28776873.48110480,95786,158.51061000,14984389.76008020,0
2024-12-28 07:00:00,94466.49000000,94634.25000000,94307.00000000,94381.99000000,235.91255000,2024-12-28 07:59:59.999,22286925.80868940,78972,128.71972000,12159468.16168660,0
2024-12-28 08:00:00,94381.98000000,94539.43000000,94312.67000000,94488.01000000,189.15654000,2024-12-28 08:59:59.999,17863434.30553290,67297,106.47972000,10055355.58769760,0
2024-12-28 09:00:00,94488.01000000,94692.30000000,94488.01000000,94589.27000000,281.34727000,2024-12-28 09:59:59.999,26619533.62614970,62343,143.66810000,13592022.45511950,0
2024-12-28 10:00:00,94589.28000000,94716.06000000,94502.21000000,94619.99000000,276.54014000,2024-12-28 10:59:59.999,26170047.65028610,82217,123.40107000,11678160.09753620,0
2024-12-28 11:00:00,94620.00000000,94883.00000000,94600.00000000,94754.83000000,316.63364000,2024-12-28 11:59:59.999,29986805.80557620,87534,149.65101000,14173415.14080570,0
2024-12-28 12:00:00,94754.83000000,94880.00000000,94577.66000000,94599.57000000,294.25135000,2024-12-28 12:59:59.999,27868357.68374180,99642,137.74859000,13047247.55182460,0
2024-12-28 13:00:00,94599.56000000,94761.33000000,94496.73000000,94665.94000000,394.23476000,2024-12-28 13:59:59.999,37313307.71464430,114847,202.34354000,19152651.87203930,0
2024-12-28 14:00:00,94665.29000000,95340.36000000,94411.76000000,94583.99000000,905.83186000,2024-12-28 14:59:59.999,85951563.96201840,275373,487.08205000,46233326.79874560,0
2024-12-28 15:00:00,94583.99000000,94819.57000000,94375.80000000,94447.29000000,418.82501000,2024-12-28 15:59:59.999,39622861.13673860,158949,209.22889000,19796019.22764060,0
2024-12-28 16:00:00,94447.28000000,94923.06000000,94389.45000000,94874.89000000,556.98186000,2024-12-28 16:59:59.999,52688995.86488300,154651,238.56145000,22575515.96494000,0
2024-12-28 17:00:00,94874.89000000,95245.24000000,94810.51000000,95022.57000000,570.88991000,2024-12-28 17:59:59.999,54270172.01881260,211460,278.21934000,26450511.68714970,0
2024-12-28 18:00:00,95022.58000000,95100.00000000,94715.16000000,94837.31000000,305.64776000,2024-12-28 18:59:59.999,29016681.82509680,106075,156.49634000,14858754.70752280,0
2024-12-28 19:00:00,94837.31000000,95138.05000000,94837.30000000,95027.76000000,265.45992000,2024-12-28 19:59:59.999,25221704.16483930,95770,152.39715000,14478879.70131550,0
2024-12-28 20:00:00,95027.75000000,95151.13000000,94878.26000000,95083.05000000,193.31417000,2024-12-28 20:59:59.999,18359960.40162440,90750,104.56557000,9930792.26409620,0
2024-12-28 21:00:00,95083.05000000,95223.72000000,94968.86000000,95171.67000000,208.89259000,2024-12-28 21:59:59.999,19857812.98757420,70843,104.51625000,9935739.69911340,0
2024-12-28 22:00:00,95171.67000000,95733.99000000,95047.11000000,95326.40000000,556.46419000,2024-12-28 22:59:59.999,53037506.56682070,135253,322.29991000,30720369.79674070,0
2024-12-28 23:00:00,95326.40000000,95408.90000000,95112.43000000,95300.00000000,338.71185000,2024-12-28 23:59:59.999,32272803.75072400,147451,164.26401000,15650397.88199380,0
2024-12-29 00:00:00,95300.00000000,95340.00000000,95042.60000000,95148.49000000,283.78071000,2024-12-29 00:59:59.999,27008777.99387510,113146,137.05598000,13043134.86068880,0
2024-12-29 01:00:00,95148.49000000,95210.22000000,94808.00000000,94857.65000000,316.37330000,2024-12-29 01:59:59.999,30047223.36319920,89106,112.13886000,10650363.53717580,0
2024-12-29 02:00:00,94857.66000000,95211.88000000,94851.25000000,95154.50000000,237.18289000,2024-12-29 02:59:59.999,22550830.81015490,67124,114.24323000,10861653.84135020,0
2024-12-29 03:00:00,95154.50000000,95221.69000000,94978.33000000,95172.40000000,215.77474000,2024-12-29 03:59:59.999,20520179.77867930,55923,94.77394000,9013171.67914540,0
2024-12-29 04:00:00,95172.41000000,95283.99000000,95063.40000000,95126.39000000,211.83200000,2024-12-29 04:59:59.999,20154519.37592100,38912,56.96338000,5419975.03732570,0
2024-12-29 05:00:00,95126.39000000,95199.97000000,95071.21000000,95118.89000000,135.90901000,2024-12-29 05:59:59.999,12928520.07233560,30402,53.52094000,5091123.54638410,0
2024-12-29 06:00:00,95118.89000000,95212.00000000,94971.44000000,95181.70000000,270.97676000,2024-12-29 06:59:59.999,25772804.32336530,48500,99.92051000,9503883.67396950,0
2024-12-29 07:00:00,95181.70000000,95272.05000000,95076.68000000,95272.04000000,257.21309000,2024-12-29 07:59:59.999,24481189.70267950,49759,122.07508000,11619149.83134120,0
2024-12-29 08:00:00,95272.05000000,95315.50000000,95078.50000000,95123.33000000,184.58621000,2024-12-29 08:59:59.999,17564766.56463790,50386,89.47996000,8514501.58076910,0
2024-12-29 09:00:00,95123.33000000,95211.41000000,95048.30000000,95190.49000000,175.08412000,2024-12-29 09:59:59.999,16657786.97850820,34073,92.21595000,8774287.88413250,0
2024-12-29 10:00:00,95190.50000000,95278.85000000,95102.76000000,95167.83000000,284.07406000,2024-12-29 10:59:59.999,27037511.09103470,41142,135.66413000,12913415.23419620,0
2024-12-29 11:00:00,95167.83000000,95183.61000000,95010.00000000,95032.57000000,144.75849000,2024-12-29 11:59:59.999,13769747.34322300,31911,60.95749000,5798612.80760090,0
2024-12-29 12:00:00,95032.58000000,95130.24000000,94900.82000000,94907.89000000,264.05508000,2024-12-29 12:59:59.999,25083226.73651680,73810,104.77359000,9953332.59713890,0
2024-12-29 13:00:00,94907.88000000,95015.18000000,94800.00000000,94928.20000000,484.06443000,2024-12-29 13:59:59.999,45937092.79289140,89532,177.81422000,16877881.95175100,0
2024-12-29 14:00:00,94928.20000000,95231.58000000,94010.00000000,94623.67000000,1574.50585000,2024-12-29 14:59:59.999,148836681.64690370,314999,736.30886000,69575852.14481550,0
2024-12-29 15:00:00,94623.68000000,94794.79000000,94404.90000000,94511.12000000,558.58884000,2024-12-29 15:59:59.999,52847648.94953730,146023,252.62486000,23903003.22635830,0
2024-12-29 16:00:00,94511.11000000,94578.89000000,93600.00000000,93900.01000000,1573.86589000,2024-12-29 16:59:59.999,147995662.12151540,250025,439.19490000,41261552.11492010,0
2024-12-29 17:00:00,93900.01000000,94117.50000000,93800.37000000,93945.01000000,611.15623000,2024-12-29 17:59:59.999,57428591.81109850,148004,306.50756000,28803495.14004580,0
2024-12-29 18:00:00,93945.00000000,93945.01000000,93600.00000000,93652.00000000,863.75577000,2024-12-29 18:59:59.999,80985920.09485780,149829,389.64554000,36536017.34399650,0
2024-12-29 19:00:00,93652.00000000,93880.00000000,93367.52000000,93612.89000000,991.70232000,2024-12-29 19:59:59.999,92808649.57004050,163656,318.40407000,29804237.28912000,0
2024-12-29 20:00:00,93612.89000000,93880.00000000,93345.00000000,93858.55000000,721.84653000,2024-12-29 20:59:59.999,67562883.00288290,177939,361.51077000,33845120.62655480,0
2024-12-29 21:00:00,93858.55000000,93949.52000000,93121.00000000,93352.65000000,1034.06452000,2024-12-29 21:59:59.999,96740689.55766560,192575,406.19468000,38020194.66269670,0
2024-12-29 22:00:00,93352.65000000,93770.41000000,93087.97000000,93135.32000000,1143.65741000,2024-12-29 22:59:59.999,106783604.73943120,201115,488.30649000,45598144.25655680,0
2024-12-29 23:00:00,93135.32000000,93871.02000000,93009.52000000,93738.20000000,1037.19753000,2024-12-29 23:59:59.999,96866355.55589230,307947,501.09090000,46813309.23470750,0
2024-12-30 00:00:00,93738.19000000,93908.24000000,93500.00000000,93583.96000000,575.76998000,2024-12-30 00:59:59.999,53920649.76058650,233984,282.22693000,26432897.19947170,0
2024-12-30 01:00:00,93583.96000000,94274.29000000,93368.93000000,93948.42000000,1152.47209000,2024-12-30 01:59:59.999,108051429.64758290,304680,593.42738000,55647892.02353050,0
